	gold	prediction	proportion
0	iː	ɪ	0.0455
1	ɛ	eː	0.0375
2	aː	a	0.0375
3	ɪ	iː	0.0356
4	eː	ɛ	0.0336
5	ʊ	uː	0.0296
6	oː	ɔ	0.0277
7	a	aː	0.0257
8	-	m	0.0217
9	ɛ	-	0.0198
10	j	-	0.0178
11	uː	ʊ	0.0178
12	ɛ	ɪ	0.0178
13	h	-	0.0158
14	-	ɛ	0.0158
15	iː	ɛ	0.0158
16	ɪ	ɛ	0.0158
17	-	j	0.0158
18	ɛ	a	0.0158
19	ɔ	oː	0.0138
20	-	r	0.0138
21	ʊ	ɛ	0.0138
22	m	-	0.0119
23	tʰ	t	0.0119
24	ʊ	ɔ	0.0119
25	ɪ	j	0.0099
26	-	k	0.0099
27	ʊ	oː	0.0099
28	-	aː	0.0099
29	aː	ɛ	0.0079
30	l	lː	0.0079
31	kʰ	k	0.0079
32	-	a	0.0079
33	t	-	0.0079
34	pʰ	f	0.0059
35	n	-	0.0059
36	ɔ	ʊ	0.0059
37	w	-	0.0059
38	ŋ	n	0.0059
39	k	-	0.0059
40	ʊ	-	0.0059
41	ɪ	eː	0.0059
42	ɛ	aː	0.0059
43	aː	-	0.0059
44	-	s	0.0059
45	uː	ɔ	0.0059
46	j	ɪ	0.0059
47	m	r	0.004
48	eː	aɪ	0.004
49	aɪ	eː	0.004
50	y	ɪ	0.004
51	ɪ	b	0.004
52	-	l	0.004
53	-	ɪ	0.004
54	ɪ	aː	0.004
55	lː	l	0.004
56	w	b	0.004
57	eː	ɪ	0.004
58	ɛ	aɪ	0.004
59	b	w	0.004
60	sː	r	0.004
61	-	t	0.004
62	s	m	0.004
63	s	k	0.004
64	-	oː	0.004
65	-	ʊ	0.004
66	g	j	0.004
67	sː	s	0.004
68	ɪ	ʊ	0.004
69	s	r	0.004
70	r	n	0.004
71	y	iː	0.004
72	k	kː	0.004
73	m	mː	0.002
74	n	r	0.002
75	w	ʊː	0.002
76	lː	r	0.002
77	-	eː	0.002
78	-	d	0.002
79	d	r	0.002
80	a	ɛ	0.002
81	k	p	0.002
82	p	t	0.002
83	m	j	0.002
84	aʊ	oː	0.002
85	eː	-	0.002
86	r	j	0.002
87	ɛ	iː	0.002
88	a	ʊ	0.002
89	g	kː	0.002
90	j	d	0.002
91	ɛ	j	0.002
92	ɛ	t	0.002
93	k	ɪ	0.002
94	p	pː	0.002
95	aː	eː	0.002
96	r	ɛ	0.002
97	ɛ	r	0.002
98	ɔ	aʊ	0.002
99	n	nː	0.002
100	-	w	0.002
101	r	t	0.002
102	t	w	0.002
103	uː	ɪ	0.002
104	ʊː	ɛu	0.002
105	kʷ	k	0.002
106	b	m	0.002
107	r	b	0.002
108	k	s	0.002
109	m	k	0.002
110	n	t	0.002
111	oː	ɪ	0.002
112	ɛ	ʊ	0.002
113	m	n	0.002
114	p	-	0.002
115	m	s	0.002
116	-	n	0.002
117	z	s	0.002
118	aʊ	ɔ	0.002
119	d	n	0.002
120	kː	k	0.002
121	n	m	0.002
122	j	t	0.002
123	p	b	0.002
124	eː	a	0.002
125	nː	n	0.002
126	ɔ	f	0.002
127	r	h	0.002
128	j	r	0.002
129	oː	-	0.002
130	iː	a	0.002
131	a	-	0.002
132	sː	-	0.002
133	oː	r	0.002
134	d	g	0.002
135	eːa	j	0.002
136	m	a	0.002
137	n	ŋ	0.002
138	rː	r	0.002
139	ɛu	ɔ	0.002
140	s	sː	0.002
141	aː	ʊ	0.002
142	k	ɛ	0.002
143	t	k	0.002
144	iː	ʊ	0.002
145	b	-	0.002
146	ɪ	-	0.002
147	lː	n	0.002
148	d	ɛ	0.002
149	r	m	0.002
150	b	h	0.002
151	oː	ʊ	0.002
152	mː	m	0.002
153	k	kʷ	0.002
154	k	t	0.002
155	tː	k	0.002
156	ɪ	ɔ	0.002
157	ɔ	d	0.002
158	r	ɪ	0.002
159	aː	j	0.002
160	ʊ	d	0.002
161	ɔ	uː	0.002
162	g	b	0.002
163	iː	oː	0.002
164	g	-	0.002
165	r	-	0.002
166	uː	t	0.002
167	g	l	0.002
168	ʊ	a	0.002
169	gː	r	0.002
170	iː	j	0.002
171	bː	b	0.002
172	eː	aː	0.002
173	ʊ	t	0.002
174	s	-	0.002
