	Feature 1	Feature 2	proportion
0	ant	distr	0.0316
1	hi	front	0.0386
2	delrel	cor	0.0035
3	delrel	dorsal	0.0035
4	delrel	lab	0.0035
5	delrel	ant	0.0035
6	delrel	distr	0.0035
7	cor	dorsal	0.0035
8	cor	lab	0.0035
9	cor	ant	0.0105
10	cor	distr	0.014
11	dorsal	lab	0.014
12	dorsal	ant	0.0105
13	dorsal	distr	0.007
14	lab	ant	0.0035
15	lab	distr	0.0035
16	dorsal	lo	0.0175
17	dorsal	back	0.0211
18	dorsal	front	0.0175
19	lab	lo	0.007
20	lab	back	0.0105
21	lab	front	0.014
22	lo	back	0.0281
23	lo	front	0.0351
24	back	front	0.0316
25	lo	tense	0.014
26	back	tense	0.0105
27	front	tense	0.007
28	hi	frontshift	0.0175
29	hi	longdistance	0.014
30	hi	secondrounded	0.014
31	front	frontshift	0.0105
32	front	longdistance	0.0105
33	front	secondrounded	0.0105
34	frontshift	longdistance	0.0246
35	frontshift	secondrounded	0.0175
36	longdistance	secondrounded	0.014
37	cor	back	0.0035
38	back	ant	0.014
39	back	distr	0.014
40	laryngeal	strid	0.0035
41	cg	laryngeal	0.0105
42	cg	front	0.0105
43	cg	distr	0.007
44	laryngeal	front	0.007
45	laryngeal	distr	0.007
46	front	distr	0.0175
47	hitone	hireg	0.014
48	hireg	falling	0.007
49	hitone	loreg	0.0175
50	hireg	loreg	0.014
51	hitone	falling	0.007
52	loreg	falling	0.0105
53	lo	frontshift	0.0035
54	lo	closing	0.0035
55	lo	centering	0.0035
56	lo	longdistance	0.0035
57	frontshift	closing	0.0035
58	frontshift	centering	0.007
59	closing	centering	0.0035
60	closing	longdistance	0.0035
61	centering	longdistance	0.0035
62	lo	ant	0.0175
63	front	ant	0.0105
64	lo	distr	0.014
65	cg	lo	0.014
66	front	opening	0.0035
67	frontshift	opening	0.0035
68	opening	longdistance	0.0035
69	opening	secondrounded	0.0035
70	hi	centering	0.0035
71	centering	secondrounded	0.0035
72	hi	tense	0.014
73	lab	hi	0.0035
74	lab	frontshift	0.0035
75	lab	longdistance	0.0035
76	lab	secondrounded	0.0035
77	hi	back	0.0211
78	hi	round	0.0175
79	back	round	0.0175
80	hi	lo	0.0211
81	cont	sg	0.007
82	cont	strid	0.0035
83	sg	strid	0.0035
84	hi	ant	0.0035
85	hi	distr	0.0035
86	backshift	frontshift	0.0035
87	backshift	longdistance	0.0035
88	tense	round	0.0105
89	voi	cg	0.0035
90	voi	lo	0.0035
91	lat	back	0.0035
92	lat	round	0.0035
93	lo	round	0.0035
94	cg	cor	0.0035
95	laryngeal	cor	0.0035
96	cor	front	0.0035
97	cons	nas	0.0035
98	cons	voi	0.0035
99	nas	voi	0.0035
100	cg	dorsal	0.0035
101	cg	hi	0.0035
102	cg	back	0.0035
103	laryngeal	dorsal	0.0035
104	laryngeal	hi	0.0035
105	laryngeal	lo	0.0035
106	laryngeal	back	0.0035
107	dorsal	hi	0.0035
108	son	front	0.0035
109	front	round	0.0035
