	gold	prediction	proportion
0	n	n̥	0.0492
1	l̥	l	0.0492
2	⁰	¹¹	0.041
3	ʔ	ʔ̚	0.041
4	b	p	0.041
5	m̥	m	0.041
6	t	d	0.0328
7	ɴ	ŋ	0.0328
8	j	-	0.0246
9	p	ˀb	0.0246
10	u	ɨ	0.0246
11	ɴ	n	0.0246
12	-	w	0.0246
13	ɴ	m	0.0164
14	ɟ	c	0.0164
15	g	k	0.0164
16	r	-	0.0164
17	i	e	0.0164
18	t̚	ʔ̚	0.0164
19	⁵⁵	¹¹	0.0164
20	p	b	0.0164
21	i	ei	0.0164
22	ɨ	ə	0.0164
23	r̥	r	0.0164
24	k̚	ʔ̚	0.0164
25	o	ə	0.0164
26	u	a	0.0164
27	ɛ	a	0.0082
28	l	w	0.0082
29	m	ɴ	0.0082
30	ŋ̊	ŋ	0.0082
31	ɛ	e	0.0082
32	ou	u	0.0082
33	ei	i	0.0082
34	kʰ	g	0.0082
35	ai	a	0.0082
36	k	h	0.0082
37	a	ɛ	0.0082
38	⁰	⁵¹	0.0082
39	n̥	n	0.0082
40	ai	ei	0.0082
41	ou	ɨ	0.0082
42	t̚	-	0.0082
43	⁵⁵	⁵¹	0.0082
44	t	ʔ̚	0.0082
45	w	-	0.0082
46	ə	ɨ	0.0082
47	ɴ	-	0.0082
48	w	u	0.0082
49	p	pʰ	0.0082
50	m	ŋ	0.0082
51	j	a	0.0082
52	ai	ɛi	0.0082
53	ʔ̚	-	0.0082
54	³³	¹¹	0.0082
55	au	ɔ	0.0082
56	n	ŋ	0.0082
57	ɲ̊	j	0.0082
58	ə	a	0.0082
59	-	ŋ	0.0082
60	a	w	0.0082
61	ʔ̚	a	0.0082
62	⁵¹	ʔ̚	0.0082
63	r	e	0.0082
64	e	ʔ̚	0.0082
65	³³	⁵¹	0.0082
