	Feature 1	Feature 2	proportion
0	hireg	loreg	0.0588
1	hi	lo	0.0294
2	hi	tense	0.0136
3	cg	lo	0.0294
4	voi	cg	0.0023
5	voi	lo	0.0023
6	hi	back	0.0317
7	hi	front	0.0158
8	hi	round	0.0181
9	lo	back	0.0362
10	lo	front	0.0317
11	lo	round	0.009
12	back	front	0.0317
13	back	round	0.0249
14	front	round	0.0045
15	dorsal	lo	0.0249
16	lo	tense	0.0113
17	dorsal	back	0.0317
18	front	hitone	0.0023
19	front	hireg	0.0023
20	front	falling	0.0023
21	hitone	hireg	0.0136
22	hitone	falling	0.0136
23	hireg	falling	0.0113
24	loreg	falling	0.0339
25	hitone	loreg	0.0158
26	syl	delrel	0.0023
27	syl	cor	0.0045
28	syl	dorsal	0.0023
29	syl	lab	0.0023
30	delrel	cor	0.0045
31	delrel	dorsal	0.0045
32	delrel	lab	0.0045
33	cor	dorsal	0.0068
34	cor	lab	0.009
35	dorsal	lab	0.009
36	cor	back	0.0023
37	cor	front	0.0045
38	cor	distr	0.0113
39	dorsal	front	0.0181
40	dorsal	distr	0.0045
41	back	distr	0.0045
42	front	distr	0.0113
43	cons	syl	0.0023
44	cons	hi	0.0023
45	cons	velaric	0.0023
46	cons	long	0.0023
47	cons	hitone	0.0023
48	syl	hi	0.0023
49	syl	velaric	0.0023
50	syl	long	0.0023
51	syl	hitone	0.0023
52	hi	velaric	0.0023
53	hi	long	0.0023
54	hi	hitone	0.0023
55	velaric	long	0.0023
56	velaric	hitone	0.0023
57	long	hitone	0.0023
58	ant	distr	0.0249
59	backshift	opening	0.0023
60	backshift	closing	0.0068
61	backshift	centering	0.0068
62	opening	closing	0.0045
63	opening	centering	0.0045
64	closing	centering	0.009
65	lab	back	0.0068
66	lab	front	0.009
67	hi	backshift	0.0023
68	hi	frontshift	0.0023
69	hi	closing	0.0023
70	hi	centering	0.0023
71	hi	secondrounded	0.0023
72	backshift	frontshift	0.0045
73	backshift	secondrounded	0.0045
74	frontshift	closing	0.0068
75	frontshift	centering	0.0068
76	frontshift	secondrounded	0.0045
77	closing	secondrounded	0.0045
78	centering	secondrounded	0.0045
79	lo	ant	0.009
80	lo	distr	0.0068
81	cg	dorsal	0.009
82	cg	hi	0.009
83	cg	back	0.009
84	dorsal	hi	0.0113
85	cg	laryngeal	0.0113
86	front	tense	0.0023
87	back	tense	0.0045
88	tense	round	0.0045
89	dorsal	ant	0.0045
90	back	ant	0.0045
91	front	ant	0.009
92	cg	cor	0.0023
93	cg	ant	0.0023
94	cg	distr	0.0023
95	laryngeal	cor	0.0045
96	laryngeal	ant	0.0045
97	laryngeal	distr	0.0045
98	cor	ant	0.009
99	laryngeal	lab	0.0023
100	laryngeal	front	0.0023
101	lab	ant	0.0045
102	lab	distr	0.0045
103	cont	voi	0.0023
104	lab	hi	0.0023
105	lab	lo	0.0045
106	laryngeal	dorsal	0.009
107	laryngeal	hi	0.009
108	laryngeal	lo	0.0068
109	laryngeal	back	0.009
110	cont	sg	0.0023
111	cont	ant	0.0023
112	cont	distr	0.0023
113	cont	strid	0.0023
114	sg	ant	0.0023
115	sg	distr	0.0023
116	sg	strid	0.0023
117	ant	strid	0.0023
118	distr	strid	0.0023
119	voi	laryngeal	0.0023
120	voi	dorsal	0.0023
121	voi	hi	0.0023
122	voi	back	0.0023
123	tense	frontshift	0.0023
124	tense	opening	0.0023
125	tense	closing	0.0023
126	tense	centering	0.0023
127	tense	longdistance	0.0023
128	frontshift	opening	0.0023
129	frontshift	longdistance	0.0023
130	opening	longdistance	0.0023
131	closing	longdistance	0.0023
132	centering	longdistance	0.0023
133	hi	distr	0.0023
