	gold	prediction	proportion
0	ɪ	iː	0.0444
1	eː	ɛ	0.0421
2	aː	a	0.0406
3	iː	ɪ	0.0365
4	ɛ	eː	0.0335
5	a	aː	0.032
6	m	-	0.0263
7	uː	ʊ	0.0229
8	oː	ɔ	0.0222
9	-	ɛ	0.0203
10	h	-	0.0199
11	ɛ	-	0.0184
12	ɪ	ɛ	0.0169
13	iː	ɛ	0.0165
14	ɔ	oː	0.0162
15	k	-	0.0135
16	ʊ	uː	0.0128
17	ʊ	-	0.0128
18	j	-	0.0124
19	-	m	0.0117
20	ʊ	ɔ	0.0102
21	n	-	0.009
22	-	j	0.0086
23	ɪ	-	0.0086
24	ɔ	ʊ	0.0086
25	-	n	0.0079
26	ŋ	n	0.0079
27	ɪ	eː	0.0075
28	aɪ	ɛ	0.0071
29	ɛ	ɪ	0.0068
30	-	r	0.0068
31	ʊ	ɛ	0.0068
32	s	-	0.0064
33	l	lː	0.0064
34	m	n	0.0064
35	aɪ	eː	0.006
36	b	w	0.006
37	s	m	0.0056
38	ʊ	oː	0.0053
39	ɛ	iː	0.0053
40	ɛ	a	0.0053
41	nː	n	0.0049
42	sː	s	0.0049
43	l	-	0.0049
44	ʊ	a	0.0045
45	ɪ	j	0.0045
46	ɛ	aː	0.0045
47	ɛ	aɪ	0.0045
48	pʰ	f	0.0045
49	tʰ	t	0.0045
50	aː	-	0.0041
51	-	k	0.0041
52	eː	ɪ	0.0041
53	-	s	0.0041
54	-	ɪ	0.0041
55	r	n	0.0041
56	lː	l	0.0041
57	s	sː	0.0041
58	k	g	0.0041
59	aʊ	ɔ	0.0038
60	j	g	0.0038
61	r	-	0.0038
62	-	t	0.0038
63	y	iː	0.0038
64	ɔ	-	0.0034
65	-	ʊ	0.0034
66	t	-	0.0034
67	eː	aː	0.0034
68	m	a	0.0034
69	kː	k	0.0034
70	a	ɛ	0.0034
71	a	-	0.0034
72	k	t	0.003
73	kʷ	k	0.003
74	ɛu	ʊ	0.003
75	t	k	0.003
76	kʰ	k	0.003
77	eː	iː	0.003
78	k	kː	0.003
79	w	-	0.003
80	n	m	0.0026
81	-	a	0.0026
82	ɛ	r	0.0026
83	tː	t	0.0026
84	pː	p	0.0026
85	ɛ	j	0.0026
86	l	r	0.0026
87	aː	eː	0.0023
88	ɛu	ɛ	0.0023
89	aː	ɛ	0.0023
90	-	iː	0.0023
91	ŋ	-	0.0023
92	ɛ	ʊ	0.0023
93	y	ɪ	0.0023
94	t	s	0.0019
95	iː	-	0.0019
96	-	w	0.0019
