	gold	prediction	proportion
0	j	-	0.0252
1	e	i	0.0221
2	-	r	0.0141
3	o	u	0.0139
4	h	-	0.0131
5	a	-	0.0108
6	-	i	0.0106
7	ɨ	i	0.0106
8	³	¹	0.0105
9	u	o	0.0099
10	u	a	0.0098
11	ts	t	0.0098
12	-	h	0.0098
13	³	²	0.0089
14	r	-	0.0088
15	ŋ	-	0.0088
16	i	-	0.0087
17	b	p	0.0087
18	ɛ	a	0.0086
19	n	n̥	0.0082
20	l̥	l	0.0082
21	j	r	0.0081
22	u	ɨ	0.0078
23	-	w	0.0077
24	t	d	0.0076
25	ˀp	b	0.0074
26	ɪ	iː	0.0074
27	-	ŋ	0.0072
28	ŋ	n	0.0071
29	eː	ɛ	0.007
30	¹	⁴	0.0069
31	⁰	¹¹	0.0068
32	ʔ	ʔ̚	0.0068
33	m̥	m	0.0068
34	aː	a	0.0068
35	-	ɨ	0.0065
36	ɔ	o	0.0064
37	²	¹	0.0062
38	iː	ɪ	0.0061
39	a	i	0.0059
40	e	ɛ	0.0059
41	-	k	0.0058
42	-	t	0.0057
43	t	p	0.0056
44	¹	³	0.0056
45	p	pʰ	0.0056
46	ɛ	eː	0.0056
47	ˀt	ˀk	0.0055
48	ʊ	u	0.0055
49	ˀŋ	ŋ	0.0055
50	ˀs	s	0.0055
51	k	-	0.0055
52	ɴ	ŋ	0.0055
53	¹	²	0.0053
54	⁵	⁴	0.0053
55	a	aː	0.0053
56	⁴	¹	0.0048
57	a̠	a	0.0048
58	-	j	0.0048
59	ɛ	e	0.0046
60	ˀl	l	0.0045
61	m	-	0.0044
62	u	-	0.0043
63	t	k	0.0042
64	a	u	0.0042
65	n	ˀn	0.0042
66	-	u	0.0041
67	p	ˀb	0.0041
68	ɴ	n	0.0041
69	-	s	0.0039
70	i	e	0.0039
71	-	m	0.0038
72	k	t	0.0038
73	t	-	0.0038
74	a	ɛ	0.0038
75	uː	ʊ	0.0038
76	ˀp	p	0.0037
77	dz	ˀk	0.0037
78	i	a	0.0037
79	ˀt	d	0.0037
80	ˀj	j	0.0037
81	o	a	0.0037
82	tʃ	ts	0.0037
83	-	a	0.0037
84	oː	ɔ	0.0037
85	ɛ	-	0.0035
86	ˀm	m	0.0034
87	-	ɛ	0.0034
88	-	ts	0.0033
89	s	p	0.0033
90	t	ts	0.0033
91	ɨ	a	0.0033
92	t	h	0.0033
93	ɨ	-	0.0033
94	a	ɨ	0.0033
95	g	k	0.0033
96	ɯ	ɯ̃	0.0032
97	o	ɔ	0.0032
98	r	j	0.003
99	p	b	0.003
100	m	n	0.0029
101	i̠	i	0.0028
102	ɪ	ɛ	0.0028
103	ɴ	m	0.0027
104	ɟ	c	0.0027
105	t̚	ʔ̚	0.0027
106	⁵⁵	¹¹	0.0027
107	i	ei	0.0027
108	ɨ	ə	0.0027
109	r̥	r	0.0027
110	k̚	ʔ̚	0.0027
111	o	ə	0.0027
112	iː	ɛ	0.0027
113	ɔ	oː	0.0027
114	ɛ̠	ɛ	0.0024
115	-	n	0.0024
116	n	m	0.0023
117	u	i	0.0023
118	j	a	0.0022
119	j	o	0.0021
120	o	ŋ	0.0021
121	æ	a	0.0021
122	⁵	³	0.0021
123	o	-	0.0021
124	æ	r	0.0021
125	n	æ	0.0021
126	i	ɛ	0.0021
127	⁴	²	0.0021
128	tʲ	d	0.0021
129	ɯ	j	0.0021
130	sʰ	s	0.0021
131	-	o	0.0021
132	i	r	0.0021
133	ɯ	i	0.0021
134	tɕ	ts	0.0021
135	³	⁴	0.0021
136	j	i	0.0021
137	ʊ	uː	0.0021
138	ʊ	-	0.0021
139	ŋ	m	0.002
140	k	n	0.002
141	k	ŋ	0.002
142	a	j	0.002
143	e	-	0.0019
144	a	o	0.0019
145	w	-	0.0019
146	t	ˀk	0.0018
147	a	ui	0.0018
148	ai	i	0.0018
149	ɲ	ŋ	0.0018
150	-	³	0.0018
151	j	ˀk	0.0018
152	ˀts	ts	0.0018
153	g	ˀk	0.0018
154	dz	m	0.0018
155	¹	ŋ	0.0018
156	i	ai	0.0018
157	-	⁴	0.0018
158	ˀɲ	n	0.0018
159	ŋ	¹	0.0018
160	¹	k	0.0018
161	ʔ	m	0.0018
162	ˀk	g	0.0018
163	ˀts	s	0.0018
164	ˀk	k	0.0018
165	n	ŋ	0.0017
166	ʊ	ɔ	0.0017
167	e	e̠	0.0016
168	²	³	0.0016
169	o	i	0.0016
170	ɔ	-	0.0016
171	n	-	0.0015
172	l	w	0.0014
173	m	ɴ	0.0014
174	ŋ̊	ŋ	0.0014
175	ou	u	0.0014
176	ei	i	0.0014
177	kʰ	g	0.0014
178	ai	a	0.0014
179	k	h	0.0014
180	⁰	⁵¹	0.0014
181	n̥	n	0.0014
182	ai	ei	0.0014
183	ou	ɨ	0.0014
184	t̚	-	0.0014
185	⁵⁵	⁵¹	0.0014
186	t	ʔ̚	0.0014
187	ə	ɨ	0.0014
188	ɴ	-	0.0014
189	w	u	0.0014
190	m	ŋ	0.0014
191	ai	ɛi	0.0014
192	ʔ̚	-	0.0014
193	³³	¹¹	0.0014
194	au	ɔ	0.0014
195	ɲ̊	j	0.0014
196	ə	a	0.0014
197	a	w	0.0014
198	ʔ̚	a	0.0014
199	⁵¹	ʔ̚	0.0014
200	r	e	0.0014
201	e	ʔ̚	0.0014
202	³³	⁵¹	0.0014
203	ɪ	-	0.0014
204	ɔ	ʊ	0.0014
205	u	e̠	0.0012
206	y	a	0.0012
207	u	i̠	0.0012
208	i	u	0.0012
209	i	ɨ	0.0012
210	ʃ	s	0.0012
211	ɛ̠	e̠	0.0012
212	tʃʰ	kʰ	0.0012
213	ɛ̠	a	0.0012
214	ˀx	x	0.0012
215	o̠	u	0.0012
216	o̠	a	0.0012
217	i	e̠	0.0012
218	-	ɔ	0.0012
219	w	j	0.0012
220	a	r	0.0012
221	ɪ	eː	0.0012
222	aɪ	ɛ	0.0012
223	tʰ	t	0.0011
224	æ	-	0.0011
225	r	æ	0.0011
226	n	j	0.0011
227	ʈ	ts	0.0011
228	u	ɯ	0.0011
229	h	χ	0.0011
230	⁴	³	0.0011
231	ã	ɔ	0.0011
232	ʁ	ŋ	0.0011
233	ɛ	i	0.0011
234	ʂ	s	0.0011
235	ø	o	0.0011
236	ɖʐ	z	0.0011
237	ɕ	s	0.0011
238	w	r	0.0011
239	qʰ	kʰ	0.0011
240	o	r	0.0011
241	³	⁵	0.0011
242	ə	ɛ	0.0011
243	ɯ	-	0.0011
244	-	tʰ	0.0011
245	tɕ	j	0.0011
246	s	sʰ	0.0011
247	²¹	¹	0.0011
248	³	-	0.0011
249	ɣ	q	0.0011
250	ts	d	0.0011
251	a	æ	0.0011
252	ŋ	æ	0.0011
253	a	ɔ	0.0011
254	n	²	0.0011
255	dʑ	d	0.0011
256	ɛ	ɪ	0.0011
257	ʊ	ɛ	0.0011
258	s	-	0.0011
259	l	lː	0.0011
260	aɪ	eː	0.001
261	b	w	0.001
262	s	m	0.0009
263	ʊ	oː	0.0009
264	ɛ	iː	0.0009
265	kʰ	tʰ	0.0008
266	ɨ̠	i̠	0.0008
267	a	ŋ	0.0008
268	j	o̠	0.0008
269	a	a̠	0.0008
270	ɣ	ʒ	0.0008
271	v	p	0.0008
272	t	tʰ	0.0008
273	i̠	j	0.0008
274	x	g	0.0008
275	i	j	0.0008
276	x	ɣ	0.0008
