	gold	prediction	proportion
0	a	-	0.0479
1	dz	ˀt	0.0312
2	h	-	0.0264
3	i	e	0.026
4	³	¹	0.0245
5	-	ɨ	0.0238
6	h	r	0.0238
7	ɨ	a	0.0238
8	r	k	0.0238
9	ɛ	a	0.0217
10	-	ŋ	0.0191
11	p	pʰ	0.0153
12	ŋ	n	0.0143
13	æ	a	0.0133
14	¹	⁴	0.0133
15	e	i	0.0124
16	ŋ	-	0.0107
17	²	¹	0.0107
18	o	u	0.0107
19	ˀj	j	0.0104
20	j	ˀɲ	0.0104
21	ˀs	s	0.0104
22	k	n	0.0104
23	⁴	¹	0.0104
24	tʃ	ˀtʃ	0.0104
25	ʔ	m	0.0104
26	dʒ	ˀtʃ	0.0104
27	ˀk	g	0.0104
28	k	kʰ	0.0087
29	o	-	0.0087
30	-	u	0.0087
31	²	³	0.008
32	iː	ɪ	0.0076
33	j	-	0.007
34	-	n	0.007
35	b	p	0.0067
36	u	ɯ	0.0067
37	tsʰ	tʰ	0.0067
38	⁴	²	0.0067
39	ʁ	ŋ	0.0067
40	³	⁵	0.0067
41	ɯ	ɯ̃	0.0067
42	sʰ	s	0.0067
43	u	o	0.0067
44	i	ɛ	0.0067
45	j	æ	0.0067
46	dʑ	ɖʐ	0.0067
47	⁵⁵	¹¹	0.0067
48	au	o	0.0067
49	l	l̥	0.0067
50	p	ˀb	0.0067
51	r	r̥	0.0067
52	ɨ	ə	0.0067
53	ˀb	p	0.0067
54	u	ɔ	0.0067
55	k̚	ʔ̚	0.0067
56	i	ei	0.0067
57	ʔ	ʔ̚	0.0067
58	r	e	0.0067
59	e	ʔ̚	0.0067
60	³³	⁵¹	0.0067
61	n	n̥	0.0067
62	ŋ	ŋ̊	0.0067
63	n	ɴ	0.0067
64	ɴ	m	0.0067
65	ɛ	eː	0.0062
66	aː	a	0.0062
67	¹	²	0.006
68	ɪ	iː	0.0059
69	eː	ɛ	0.0056
70	ɛ	-	0.0053
71	ʊ	uː	0.0049
72	oː	ɔ	0.0046
73	a	aː	0.0043
74	³	²	0.004
75	a̠	a	0.004
76	¹	³	0.004
77	tʰ	tʃʰ	0.004
78	kʰ	g	0.004
79	e	ɛ	0.004
80	-	m	0.0036
81	pʰ	f	0.003
82	uː	ʊ	0.003
83	ɛ	ɪ	0.003
84	-	ɛ	0.0026
85	iː	ɛ	0.0026
86	ɪ	ɛ	0.0026
87	-	j	0.0026
88	ɔ	oː	0.0023
89	-	r	0.0023
90	ʊ	ɛ	0.0023
91	dʒ	dz	0.002
92	a	i̠	0.002
