	gold	prediction	proportion
0	³	¹	0.0843
1	²	³	0.0482
2	¹	²	0.0361
3	i	e	0.0361
4	ŋ	-	0.0241
5	²	¹	0.0241
6	³	²	0.0241
7	a̠	a	0.0241
8	¹	³	0.0241
9	o	u	0.0241
10	tʰ	tʃʰ	0.0241
11	kʰ	g	0.0241
12	e	ɛ	0.0241
13	j	-	0.0241
14	dʒ	dz	0.012
15	a	i̠	0.012
16	tʃʰ	tsʰ	0.012
17	u	i̠	0.012
18	y	u	0.012
19	pʰ	f	0.012
20	t	ts	0.012
21	e̠	u	0.012
22	ɛ̠	e̠	0.012
23	s	g	0.012
24	ɛ	a	0.012
25	ɛ	-	0.012
26	k	kʰ	0.012
27	p	pʰ	0.012
28	ɲ	ˀn	0.012
29	u	ɨ	0.012
30	e	i	0.012
31	ŋ	²	0.012
32	a	o̠	0.012
33	l	ˀl	0.012
34	o̠	a	0.012
35	a	i	0.012
36	y	o	0.012
37	ɣ	s	0.012
38	u	e	0.012
39	i	y	0.012
40	ɲ	n	0.012
41	e	i̠	0.012
42	y̠	o	0.012
43	o	-	0.012
44	i̠	e̠	0.012
45	e̠	i̠	0.012
46	e	-	0.012
47	ˀm	m	0.012
48	ɛ	ɛ̠	0.012
49	u	a	0.012
50	-	ŋ	0.012
51	a	u	0.012
52	x	ɣ	0.012
53	-	u	0.012
54	e	e̠	0.012
55	tsʰ	tʃʰ	0.012
56	ɿ	ɨ	0.012
57	ɣ	g	0.012
58	i̠	i	0.012
59	v	pʰ	0.012
