	gold	prediction	proportion
0	³	¹	0.0469
1	j	-	0.0457
2	i	ɨ	0.0445
3	ŋ	-	0.0373
4	¹	³	0.0361
5	a̠	a	0.0337
6	³	²	0.0325
7	¹	²	0.024
8	i	i̠	0.0228
9	²	¹	0.0192
10	e	i	0.018
11	v	ˀv	0.0168
12	ˀn	n	0.0144
13	u	o	0.0144
14	a	u	0.0144
15	²	³	0.0132
16	ɛ	ɛ̠	0.012
17	a	a̠	0.012
18	m	ˀm	0.0096
19	e	e̠	0.0096
20	l	ˀl	0.0096
21	u	i	0.0084
22	-	ŋ	0.0084
23	²	-	0.0084
24	ʃ	s	0.0084
25	u	ɨ	0.0072
26	-	j	0.0072
27	¹	⁵⁵	0.0072
28	e̠	e	0.0072
29	e̠	i̠	0.0072
30	n	n̩	0.006
31	a	o̠	0.006
32	i̠	ɨ	0.006
33	ʒ	z	0.006
34	i̠	i	0.006
35	ɨ̠	ɨ	0.006
36	u	a	0.006
37	tʃʰ	kʰ	0.006
38	a	i	0.006
39	a	ɛ̠	0.0048
40	³	ŋ	0.0048
41	e	ɛ	0.0048
42	ɛ	e	0.0048
43	²	ŋ	0.0048
44	i	j	0.0048
45	ɣ	s	0.0048
46	a	-	0.0048
47	y̠	y	0.0048
48	ɨ̠	i̠	0.0048
49	ɲ	n	0.0048
50	e	i̠	0.0048
51	k	kʰ	0.0048
52	e̠	ɛ̠	0.0036
53	ɛ	ɨ	0.0036
54	u	a̠	0.0036
55	i	e	0.0036
56	o̠	a	0.0036
57	ɛ	e̠	0.0036
58	ɛ	o	0.0036
59	e	ɨ	0.0036
60	b	p	0.0036
61	ɨ	ɨ̠	0.0036
62	u	o̠	0.0036
63	i	u̠	0.0036
64	³³	³	0.0036
65	u	u̠	0.0036
66	ɛ̠	e	0.0036
67	o̠	u	0.0036
68	dʒ	dz	0.0036
69	y	i	0.0036
70	o̠	ɨ̠	0.0024
71	e̠	a	0.0024
72	i	²	0.0024
73	v	b	0.0024
74	tsʰ	z	0.0024
75	n	ŋ	0.0024
76	a	e̠	0.0024
77	tsʰ	tʃʰ	0.0024
78	j	a	0.0024
79	e̠	ɛ	0.0024
80	ˀx	x	0.0024
81	ˀm	m	0.0024
82	i	a	0.0024
83	p	pʰ	0.0024
84	f	pʰ	0.0024
85	e	a	0.0024
86	y	o	0.0024
87	d	t	0.0024
88	pʰ	p	0.0024
89	i	u	0.0024
90	²	²¹	0.0024
91	t	tʃʰ	0.0024
92	o	a	0.0024
93	tʰ	tʃʰ	0.0024
94	ɛ̠	e̠	0.0024
95	tʃʰ	ts	0.0024
96	t	d	0.0024
97	o	ɨ̠	0.0024
98	ɣ	g	0.0024
99	kʰ	x	0.0024
100	ɿ	ɨ	0.0024
101	y	ɛ	0.0024
102	ɿ	u	0.0024
103	ʒ	ɣ	0.0024
104	a	ɨ	0.0024
105	e̠	u	0.0024
106	y	e	0.0024
107	pʰ	ˀv	0.0024
108	ɛ	i	0.0024
109	e	ɛ̠	0.0024
110	ɛ	a	0.0024
111	o	ɨ	0.0024
112	u	e̠	0.0024
113	a	y	0.0024
114	e	j	0.0024
115	h	s	0.0024
116	u̠	o	0.0024
117	x	g	0.0024
118	tsʰ	s	0.0024
119	k	g	0.0012
120	o	i	0.0012
121	w	-	0.0012
122	tʃʰ	g	0.0012
123	u	ɨ̠	0.0012
124	ˀŋ	ŋ	0.0012
125	y	u̠	0.0012
126	ɨ	o̠	0.0012
127	i	o	0.0012
128	k	j	0.0012
129	i	ŋ	0.0012
130	³	-	0.0012
131	ˀŋ	ɲ	0.0012
132	ɛ	a̠	0.0012
133	y	a	0.0012
134	g	s	0.0012
135	j	o̠	0.0012
136	u	-	0.0012
137	y	ɨ̠	0.0012
138	y̠	ɛ̠	0.0012
139	kʰ	tʃʰ	0.0012
140	o̠	y	0.0012
141	k	ts	0.0012
142	o̠	ɨ	0.0012
143	p	ˀv	0.0012
144	a̠	ɛ	0.0012
145	ˀx	ɣ	0.0012
146	a	o	0.0012
147	k	tsʰ	0.0012
148	-	u	0.0012
149	tsʰ	g	0.0012
150	i̠	ɨ̠	0.0012
151	ŋ	j	0.0012
152	k	tʃ	0.0012
153	k	s	0.0012
154	ɣ	h	0.0012
155	ɛ̠	o	0.0012
156	ɛ̠	a	0.0012
157	d	tʃʰ	0.0012
158	-	²	0.0012
159	i̠	e	0.0012
160	dʒ	x	0.0012
161	i	e̠	0.0012
162	ɨ	a̠	0.0012
163	tʰ	dz	0.0012
164	y̠	a	0.0012
165	e̠	-	0.0012
166	ts	k	0.0012
167	pʰ	b	0.0012
168	o	o̠	0.0012
169	a̠	ɛ̠	0.0012
170	i̠	e̠	0.0012
171	¹	ŋ	0.0012
172	i̠	u	0.0012
173	e	u	0.0012
174	dʒ	tʃ	0.0012
175	ɨ̠	o	0.0012
176	i	-	0.0012
177	e̠	i	0.0012
178	s	ts	0.0012
179	ʒ	ts	0.0012
180	i̠	o̠	0.0012
181	tsʰ	t	0.0012
182	x	s	0.0012
183	g	kʰ	0.0012
184	i	a̠	0.0012
185	k	x	0.0012
186	e̠	o	0.0012
187	d	tʰ	0.0012
188	ɛ̠	ɛ	0.0012
189	ɛ̠	a̠	0.0012
190	n	ˀn	0.0012
191	i	y	0.0012
192	a	e	0.0012
193	o	ŋ	0.0012
194	dz	g	0.0012
195	x	z	0.0012
196	u̠	o̠	0.0012
197	s	h	0.0012
198	i̠	u̠	0.0012
199	z	s	0.0012
200	ts	tʃ	0.0012
201	u	ɛ	0.0012
202	z	ts	0.0012
203	v	p	0.0012
204	h	ʃ	0.0012
205	dz	tsʰ	0.0012
206	b	pʰ	0.0012
207	ˀx	h	0.0012
208	h	x	0.0012
209	o	e	0.0012
210	d	tʃ	0.0012
211	ɣ	dz	0.0012
212	d	tsʰ	0.0012
213	i	ɨ̠	0.0012
214	tsʰ	ts	0.0012
215	m	-	0.0012
216	t	ts	0.0012
217	dz	ts	0.0012
218	v	pʰ	0.0012
219	y	a̠	0.0012
220	o̠	i̠	0.0012
221	o	u	0.0012
222	tʃ	ts	0.0012
223	o̠	o	0.0012
224	y̠	-	0.0012
225	kʰ	g	0.0012
226	³³	¹	0.0012
227	y̠	o	0.0012
228	k	dz	0.0012
229	u̠	a	0.0012
230	y̠	ɨ	0.0012
231	dʒ	ts	0.0012
232	x	ɣ	0.0012
233	ɛ̠	u	0.0012
234	ʒ	s	0.0012
235	u	y	0.0012
236	kʰ	tsʰ	0.0012
237	a̠	-	0.0012
238	ˀɲ	ˀn	0.0012
