	gold	prediction	proportion
0	e	i	0.0778
1	ˀp	b	0.0444
2	t	p	0.0333
3	ˀt	ˀk	0.0333
4	ɛ	a	0.0333
5	ʊ	u	0.0333
6	ˀŋ	ŋ	0.0333
7	ˀs	s	0.0333
8	¹	⁴	0.0222
9	ˀp	p	0.0222
10	dz	ˀk	0.0222
11	-	ŋ	0.0222
12	o	u	0.0222
13	i	a	0.0222
14	ˀl	l	0.0222
15	ˀt	d	0.0222
16	³	²	0.0222
17	ˀj	j	0.0222
18	⁴	¹	0.0222
19	j	r	0.0222
20	t	k	0.0222
21	t	ˀk	0.0111
22	ŋ	m	0.0111
23	-	k	0.0111
24	-	t	0.0111
25	a	ui	0.0111
26	-	m	0.0111
27	ai	i	0.0111
28	ɲ	ŋ	0.0111
29	n	m	0.0111
30	-	³	0.0111
31	j	ˀk	0.0111
32	a	u	0.0111
33	ˀts	ts	0.0111
34	g	ˀk	0.0111
35	j	-	0.0111
36	dz	m	0.0111
37	¹	ŋ	0.0111
38	i	ai	0.0111
39	-	⁴	0.0111
40	k	n	0.0111
41	ˀɲ	n	0.0111
42	r	j	0.0111
43	u	o	0.0111
44	ŋ	¹	0.0111
45	¹	k	0.0111
46	m	n	0.0111
47	ʔ	m	0.0111
48	ˀk	g	0.0111
49	a	i	0.0111
50	ˀts	s	0.0111
51	n	ˀn	0.0111
52	ˀm	m	0.0111
53	u	a	0.0111
54	ˀk	k	0.0111
55	k	ŋ	0.0111
